Button			   Date
Science,,,Fri Apr 15 2022 18:35:07 GMT-0700 (Pacific Daylight Time)
Magnetometer,,,Fri Apr 15 2022 18:35:09 GMT-0700 (Pacific Daylight Time)
Magnetometer,,,Fri Apr 15 2022 18:35:12 GMT-0700 (Pacific Daylight Time)
Gamma Ray and Neutron Spectrometer,,,Fri Apr 15 2022 18:35:13 GMT-0700 (Pacific Daylight Time)
Low Gain Antenna,,,Fri Apr 15 2022 18:35:14 GMT-0700 (Pacific Daylight Time)
Multispectral,,,Fri Apr 15 2022 18:35:15 GMT-0700 (Pacific Daylight Time)
Gamma Ray and Neutron Spectrometer,,,Fri Apr 15 2022 18:35:18 GMT-0700 (Pacific Daylight Time)
Magnetometer,,,Fri Apr 15 2022 18:35:19 GMT-0700 (Pacific Daylight Time)
Gamma Ray and Neutron Spectrometer,,,Fri Apr 15 2022 18:35:20 GMT-0700 (Pacific Daylight Time)
Low Gain Antenna,,,Fri Apr 15 2022 18:35:20 GMT-0700 (Pacific Daylight Time)
Multispectral,,,Fri Apr 15 2022 18:35:21 GMT-0700 (Pacific Daylight Time)
Low Gain Antenna,,,Fri Apr 15 2022 18:35:24 GMT-0700 (Pacific Daylight Time)
Magnetometer,,,Fri Apr 15 2022 18:35:25 GMT-0700 (Pacific Daylight Time)
Gamma Ray and Neutron Spectrometer,,,Fri Apr 15 2022 18:35:26 GMT-0700 (Pacific Daylight Time)
Low Gain Antenna,,,Fri Apr 15 2022 18:35:26 GMT-0700 (Pacific Daylight Time)
Multispectral,,,Fri Apr 15 2022 18:35:27 GMT-0700 (Pacific Daylight Time)
Multispectral,,,Fri Apr 15 2022 18:35:29 GMT-0700 (Pacific Daylight Time)
Magnetometer,,,Fri Apr 15 2022 18:35:30 GMT-0700 (Pacific Daylight Time)
Gamma Ray and Neutron Spectrometer,,,Fri Apr 15 2022 18:35:31 GMT-0700 (Pacific Daylight Time)
Low Gain Antenna,,,Fri Apr 15 2022 18:35:31 GMT-0700 (Pacific Daylight Time)
Multispectral,,,Fri Apr 15 2022 18:35:32 GMT-0700 (Pacific Daylight Time)
Navigation,,,Fri Apr 15 2022 18:36:45 GMT-0700 (Pacific Daylight Time)
Cold Gas Thrusters,,,Fri Apr 15 2022 18:36:47 GMT-0700 (Pacific Daylight Time)
Navigation,,,Fri Apr 15 2022 18:37:03 GMT-0700 (Pacific Daylight Time)
Cold Gas Thrusters,,,Fri Apr 15 2022 18:37:04 GMT-0700 (Pacific Daylight Time)
Low Gain Antenna,,,Fri Apr 15 2022 18:37:33 GMT-0700 (Pacific Daylight Time)
Multispectral,,,Fri Apr 15 2022 18:37:34 GMT-0700 (Pacific Daylight Time)
Navigation,,,Fri Apr 15 2022 18:38:54 GMT-0700 (Pacific Daylight Time)
Cold Gas Thrusters,,,Fri Apr 15 2022 18:38:55 GMT-0700 (Pacific Daylight Time)
Navigation,,,Fri Apr 15 2022 18:39:26 GMT-0700 (Pacific Daylight Time)
Cold Gas Thrusters,,,Fri Apr 15 2022 18:39:27 GMT-0700 (Pacific Daylight Time)
Video,,,Fri Apr 15 2022 18:39:29 GMT-0700 (Pacific Daylight Time)
Navigation,,,Fri Apr 15 2022 18:39:31 GMT-0700 (Pacific Daylight Time)
Star Trackers,,,Fri Apr 15 2022 18:39:31 GMT-0700 (Pacific Daylight Time)
Navigation,,,Fri Apr 15 2022 18:39:34 GMT-0700 (Pacific Daylight Time)
Sun Sensors,,,Fri Apr 15 2022 18:39:34 GMT-0700 (Pacific Daylight Time)
Navigation,,,Fri Apr 15 2022 18:39:36 GMT-0700 (Pacific Daylight Time)
SP Thruster,,,Fri Apr 15 2022 18:39:37 GMT-0700 (Pacific Daylight Time)
Navigation,,,Fri Apr 15 2022 18:39:44 GMT-0700 (Pacific Daylight Time)
Cold Gas Thrusters,,,Fri Apr 15 2022 18:39:44 GMT-0700 (Pacific Daylight Time)
Gamma Ray and Neutron Spectrometer,,,Fri Apr 15 2022 18:39:46 GMT-0700 (Pacific Daylight Time)
Navigation,,,Fri Apr 15 2022 18:40:15 GMT-0700 (Pacific Daylight Time)
Cold Gas Thrusters,,,Fri Apr 15 2022 18:40:16 GMT-0700 (Pacific Daylight Time)
Star Trackers,,,Fri Apr 15 2022 18:40:18 GMT-0700 (Pacific Daylight Time)
Sun Sensors,,,Fri Apr 15 2022 18:40:19 GMT-0700 (Pacific Daylight Time)
SP Thruster,,,Fri Apr 15 2022 18:40:20 GMT-0700 (Pacific Daylight Time)
Navigation,,,Fri Apr 15 2022 18:40:23 GMT-0700 (Pacific Daylight Time)
Cold Gas Thrusters,,,Fri Apr 15 2022 18:40:24 GMT-0700 (Pacific Daylight Time)
Star Trackers,,,Fri Apr 15 2022 18:40:25 GMT-0700 (Pacific Daylight Time)
Sun Sensors,,,Fri Apr 15 2022 18:40:26 GMT-0700 (Pacific Daylight Time)
Cold Gas Thrusters,,,Fri Apr 15 2022 18:40:26 GMT-0700 (Pacific Daylight Time)
Navigation,,,Fri Apr 15 2022 18:40:28 GMT-0700 (Pacific Daylight Time)
Star Trackers,,,Fri Apr 15 2022 18:40:28 GMT-0700 (Pacific Daylight Time)
Cold Gas Thrusters,,,Fri Apr 15 2022 18:40:29 GMT-0700 (Pacific Daylight Time)
Star Trackers,,,Fri Apr 15 2022 18:40:30 GMT-0700 (Pacific Daylight Time)
Sun Sensors,,,Fri Apr 15 2022 18:40:30 GMT-0700 (Pacific Daylight Time)
SP Thruster,,,Fri Apr 15 2022 18:40:31 GMT-0700 (Pacific Daylight Time)
SP Thruster,,,Fri Apr 15 2022 18:40:31 GMT-0700 (Pacific Daylight Time)
Communication,,,Fri Apr 15 2022 18:40:33 GMT-0700 (Pacific Daylight Time)
Dsoc,,,Fri Apr 15 2022 18:40:34 GMT-0700 (Pacific Daylight Time)
Xband,,,Fri Apr 15 2022 18:40:36 GMT-0700 (Pacific Daylight Time)
Spacecraft,,,Fri Apr 15 2022 18:40:38 GMT-0700 (Pacific Daylight Time)
Central Core,,,Fri Apr 15 2022 18:40:39 GMT-0700 (Pacific Daylight Time)
3D Model,,,Fri Apr 15 2022 18:40:41 GMT-0700 (Pacific Daylight Time)
Astroid,,,Fri Apr 15 2022 18:40:42 GMT-0700 (Pacific Daylight Time)
Video,,,Fri Apr 15 2022 18:41:03 GMT-0700 (Pacific Daylight Time)
3D Model,,,Fri Apr 15 2022 18:41:04 GMT-0700 (Pacific Daylight Time)
Spacecraft Model,,,Fri Apr 15 2022 18:41:05 GMT-0700 (Pacific Daylight Time)
Communication,,,Fri Apr 15 2022 18:41:22 GMT-0700 (Pacific Daylight Time)
